eng,thai
tree,ต้นไม้
madam,มาดาม
gift,ของขวัญ
truck,รถบรรทุก
putting,การใส่
bear,หมี
board,กระดาน
grab,คว้า
beer,เบียร์
stuck,ติดอยู่
magic,มายากล
support,สนับสนุน
rules,กฎ
grunts,คำราม
partner,พันธมิตร
reach,เข้าถึง
wind,ลม
colonel,พันเอก
max,สูงสุด
immediately,โดยทันที
seconds,วินาที
thousand,พัน
gives,ให้
experience,ประสบการณ์
cheers,ไชโย
victim,เหยื่อ
upon,เมื่อ
computer,คอมพิวเตอร์
christ,พระคริสต์
planet,ดาวเคราะห์
promised,ตามที่สัญญา
bus,รสบัส
henry,เฮนรี่
dirty,สกปรก
search,ค้นหา
staying,การอยู่
dreams,ความฝัน
arrest,จับกุม
holding,การยึดครอง
suddenly,กะทันหัน
usually,โดยปกติ
lots,จำนวนมาก
shoes,รองเท้า
er,เอ่อ
jump,กระโดด
rid,กำจัด
yo,ยอ
knock,เคาะ
owe,เป็นหนี้
harry,แฮร์รี่
grow,เติบโต
worst,แย่ที่สุด
river,แม่น้ำ
aunt,ป้า
patient,อดทน
kitchen,ครัว
aah,aah
fat,อ้วน
passed,ผ่าน
final,สุดท้าย
summer,ฤดูร้อน
bob,บ๊อบ
listening,การฟัง
escape,หนี
everywhere,ทุกที่
moon,ดวงจันทร์
arms,แขน
turns,การเลี้ยว
address,ที่อยู่
ow,โอ๊ย
match,การแข่งขัน
gasps,อ้าปากค้าง
grand,ยิ่งใหญ่
yep,ใช่
shh,Shh
nervous,ประหม่า
de,เดอ
choose,เลือก
themselves,ตัวพวกเขาเอง
decide,ตัดสินใจ
mate,เพื่อน
drinking,การดื่ม
press,กด
bother,รบกวน
foot,เท้า
hadn,รก
blame,ตำหนิ
crap,อึ
drugs,ยาเสพติด
type,พิมพ์
rings,แหวน
mission,ภารกิจ
named,ชื่อ
heaven,สวรรค์
picked,ที่เลือก
paris,ปารีส
race,แข่ง
risk,เสี่ยง
books,หนังสือ
further,ไกลออกไป
danny,แดนนี่
action,การกระทำ
allowed,อนุญาต
orders,คำสั่งซื้อ
learned,ได้เรียนรู้
price,ราคา
arrived,มาถึงแล้ว
nick,นิค
otherwise,มิฉะนั้น
pictures,รูปภาพ
fit,พอดี
smoke,ควัน
favor,ความโปรดปราน
played,เล่น
notice,สังเกต
awesome,เจ๋ง
smile,รอยยิ้ม
director,ผู้อำนวยการ
guard,อารักขา
begin,เริ่ม
spot,จุด
surprised,น่าประหลาดใจ
innocent,ผู้บริสุทธิ์
narrator,ผู้บรรยาย
herself,ตัวเอง
london,กรุงลอนดอน
feelings,ความรู้สึก
enemy,ศัตรู
battle,การสู้รบ
ourselves,ตัวเราเอง
alex,อเล็กซ์
dollars,เงินดอลลาร์
allow,อนุญาต
nine,เก้า
gay,เกย์
department,สาขา
guilty,รู้สึกผิด
apart,ห่างกัน
earlier,ก่อนหน้านี้
duty,หน้าที่
jim,จิม
suit,สูท
bell,กระดิ่ง
west,ตะวันตก
legs,ขา
hero,ฮีโร่
destroy,ทำลาย
stage,เวที
bunch,กลุ่ม
according,ตาม
chicken,ไก่
bigger,ใหญ่โต
grunting,คำราม
low,ต่ำ
helping,การช่วยเหลือ
admit,ยอมรับ
closed,ปิด
names,ชื่อ
witness,พยาน
upstairs,ชั้นบน
arm,แขน
steal,ขโมย
jimmy,จิมมี่
kick,เตะ
twice,สองครั้ง
cross,ข้าม
ways,วิธีการ
sergeant,จ่า
indeed,อย่างแท้จริง
gas,แก๊ส
keeping,การเก็บรักษา
energy,พลังงาน
pregnant,ตั้งครรภ์
waste,ของเสีย
helped,ช่วยเหลือ
fired,ซึ่งถูกยิง
favorite,ที่ชื่นชอบ
tony,โทนี่
taste,รสชาติ
locked,ที่ถูกล็อค
places,สถานที่
writing,การเขียน
adam,อดัม
brothers,พี่น้อง
starts,เริ่มต้น
prince,เจ้าชาย
form,รูปร่าง
sold,ขายแล้ว
silly,โง่
mention,กล่าวถึง
build,สร้าง
throat,คอ
hole,รู
figured,ที่คิด
track,ติดตาม
ringing,ซึ่งส่งเสียงดัง
lock,ล็อค
leg,ขา
above,ข้างบน
hiding,การซ่อน
steve,สตีฟ
seemed,ดูเหมือน
breakfast,อาหารเช้า
engine,เครื่องยนต์
written,เขียนไว้
complete,เสร็จสิ้น
video,วิดีโอ
applause,เสียงปรบมือ
however,อย่างไรก็ตาม
pressure,ความกดดัน
fresh,สด
weapon,อาวุธ
sky,ท้องฟ้า
ms.,นางสาว.
stole,ยัก
study,ศึกษา
burn,เผา
reading,การอ่าน
crowd,ฝูงชน
treat,รักษา
roll,ม้วน
double,สองเท่า
spirit,วิญญาณ
danger,อันตราย
cost,ค่าใช้จ่าย
empty,ว่างเปล่า
level,ระดับ
memory,หน่วยความจำ
itself,ตัวเอง
acting,ทำหน้าที่
interest,น่าสนใจ
nose,จมูก
plans,แผน
following,กำลังติดตาม
bathroom,ห้องน้ำ
built,สร้าง
closer,ใกล้ชิด
ray,เรย์
sarah,ซาร่าห์
band,วงดนตรี
groans,เสียงครวญคราง
apparently,เห็นได้ชัดว่า
excited,ตื่นเต้น
richard,ริชาร์ด
losing,การสูญเสีย
animals,สัตว์
flight,เที่ยวบิน
nature,ธรรมชาติ
raise,ยก
pop,โผล่
client,ลูกค้า
bomb,ระเบิด
neck,คอ
suspect,สงสัย
warm,อบอุ่น
extra,พิเศษ
bottle,ขวด
van,รถตู้
heavy,หนัก
mommy,แม่
dogs,สุนัข
wild,ป่า
ridiculous,น่าขัน
simply,อย่างง่าย
lee,หี
animal,สัตว์
showed,แสดง
billy,บิลลี่
shooting,การยิง
keeps,เก็บไว้
camp,ค่าย
guns,ปืน
medical,ทางการแพทย์
shame,ความอัปยศ
hoping,หวัง
whom,ใคร
bird,นก
majesty,พระบาทสมเด็จพระเจ้าอยู่หัว
flowers,ดอกไม้
famous,มีชื่อเสียง
asleep,นอนหลับ
beauty,ความงาม
driver,คนขับรถ
keys,กุญแจ
rain,ฝน
awful,แย่มาก
large,ใหญ่
local,ท้องถิ่น
deserve,สมควรได้รับ
goddamn,Goddamn
stone,หิน
jane,เจน
grace,ความสง่างาม
consider,พิจารณา
weekend,สุดสัปดาห์
wondering,ที่สงสัย
lay,วาง
plenty,มากมาย
willing,เต็มใจ
pants,กางเกง
sweetheart,หวานใจ
skin,ผิว
excellent,ยอดเยี่ยม
asshole,ไอ้
beach,ชายหาด
c,ค
faith,ศรัทธา
beg,ขอ
fuckin,ไอ้
responsible,รับผิดชอบ
military,ทหาร
cheering,เชียร์
opportunity,โอกาส
common,ทั่วไป
bottom,ล่าง
german,ชาวเยอรมัน
whoever,ใครก็ตาม
cook,ทำอาหาร
walked,เดิน
papers,เอกสาร
justice,ความยุติธรรม
hall,ห้องโถง
commander,ผู้บังคับบัญชา
drug,ยา
main,หลัก
knife,มีด
devil,ปีศาจ
necessary,จำเป็น
although,แม้ว่า
princess,เจ้าหญิง
lights,แสงไฟ
flying,การบิน
dick,กระเจี๊ยว
rose,ดอกกุหลาบ
knowing,รู้ดี
clearly,อย่างชัดเจน
hat,หมวก
agreed,ตกลงกัน
johnny,จอห์นนี่
corner,มุม
code,รหัส
note,บันทึก
tommy,ทอมมี่
due,เนื่องจาก
correct,ถูกต้อง
apologize,ขอโทษ
language,ภาษา
stars,ดารา
faster,เร็วขึ้น
cars,รถยนต์
folks,คน
bullshit,คนไร้สาระ
i.,ผม.
fellow,เพื่อน
several,หลาย
grandma,ยาย
shows,การแสดง
leader,ผู้นำ
leaves,ใบไม้
restaurant,ร้านอาหาร
east,ทิศตะวันออก
shouting,การตะโกน
blind,ตาบอด
ghost,ผี
cup,ถ้วย
gotten,ได้รับ
tight,แน่น
conversation,การสนทนา
tells,บอกเล่า
lies,การโกหก
nor,ก็ไม่เช่นกัน
pulled,ถูกดึงออกมา
hanging,การห้อย
speed,ความเร็ว
stories,เรื่องราว
health,สุขภาพ
advice,คำแนะนำ
held,จัดขึ้น
uh-huh,เอ่อ
murdered,ถูกสังหาร
beyond,เกิน
rule,กฎ
hardly,แทบจะไม่
possibly,อาจจะ
inspector,ผู้ตรวจการ
cousin,ลูกพี่ลูกน้อง
trial,การทดลอง
emergency,ภาวะฉุกเฉิน
ought,ควร
eddie,เอ็ดดี้
somehow,อย่างใด
hearing,การได้ยิน
states,รัฐ
account,บัญชีผู้ใช้
spoke,พูด
file,ไฟล์
understood,เข้าใจ
angel,นางฟ้า
tape,เทป
milk,นม
powerful,ทรงพลัง
weapons,อาวุธ
practice,ฝึกฝน
manager,ผู้จัดการ
pardon,ขอโทษ
vote,ลงคะแนนเสียง
jake,เจค
national,ระดับชาติ
career,อาชีพ
minister,ปรองดองกัน
super,สุดยอด
taught,สอน
robert,โรเบิร์ต
biggest,ยิ่งใหญ่
plays,การเล่น
natural,เป็นธรรมชาติ
dancing,การเต้นรำ
copy,สำเนา
plus,บวก
martin,มาร์ติน
cake,เค้ก
freedom,เสรีภาพ
among,ท่ามกลาง
breath,ลมหายใจ
operation,การดำเนินการ
chris,คริส
crew,ลูกทีม
challenge,ท้าทาย
market,ตลาด
meat,เนื้อ
towards,ต่อ
bringing,การนำ
dropped,ลดลง
student,นักเรียน
lied,โกหก
strength,ความแข็งแกร่ง
size,ขนาด
breathe,หายใจ
color,สี
monster,สัตว์ประหลาด
loud,ดัง
photo,รูปถ่าย
aw,อืม
nearly,เกือบ
sight,ภาพ
greatest,ยิ่งใหญ่ที่สุด
games,เกม
bridge,สะพาน
dressed,แต่งตัว
arrested,ถูกจับ
horrible,น่ากลัว
coach,โค้ช
planning,การวางแผน
checked,ตรวจสอบแล้ว
breaking,การทำลาย
noticed,สังเกตเห็น
fantastic,มหัศจรรย์
screams,เสียงกรีดร้อง
serve,ให้บริการ
ideas,ความคิด
investigation,ตรวจสอบ
center,ศูนย์กลาง
older,แก่กว่า
pack,หีบห่อ
soldiers,ทหาร
nonsense,เรื่องไร้สาระ
doc,เอกสาร
project,โครงการ
training,การฝึกอบรม
example,ตัวอย่าง
trick,เล่ห์เหลี่ยม
prepared,เตรียมไว้
science,ศาสตร์
united,รวมกัน
travel,การท่องเที่ยว
incredible,เหลือเชื่อ
grandpa,คุณปู่
paying,การจ่ายเงิน
character,อักขระ
teeth,ฟัน
criminal,อาชญากร
charles,ชาร์ลส์
chinese,ชาวจีน
truly,อย่างแท้จริง
honestly,สุจริต
bro,พี่ชาย
survive,อยู่รอด
bobby,บ๊อบบี้
target,เป้า
feed,ให้อาหาร
nurse,พยาบาล
e,อี
fake,ปลอม
records,บันทึก
breathing,การหายใจ
sweetie,ที่รัก
numbers,ตัวเลข
oil,น้ำมัน
suicide,การฆ่าตัวตาย
belong,เป็นของ
whoo,เสียง
perfectly,อย่างสมบูรณ์
amy,เอมี่
forgotten,ถูกลืม
remain,ยังคง
original,ต้นฉบับ
papa,พ่อ
onto,ไปยัง
concerned,น่ากังวล
credit,เครดิต
ugh,ฮึ
invited,ได้รับเชิญ
discuss,หารือ
research,การวิจัย
easier,ง่ายขึ้น
view,ดู
chair,เก้าอี้
hurts,เจ็บ
strike,โจมตี
roger,โรเจอร์
fill,เติม
condition,สภาพ
mountain,ภูเขา
dr,ดร.
nowhere,ไม่มีที่ไหนเลย
sheriff,นายอำเภอ
kim,คิม
turning,การหมุน
brown,สีน้ำตาล
recognize,จำได้
heads,หัว
audience,ผู้ชม
all,ทั้งหมด
jealous,อิจฉา
pretend,แกล้งทำ
society,สังคม
finding,การค้นพบ
shirt,เสื้อ
comfortable,สะดวกสบาย
meaning,ความหมาย
guest,แขก
pieces,ชิ้นส่วน
dry,แห้ง
letting,การปล่อย
began,เริ่ม
aye,ใช่
jeff,เจฟฟ์
female,หญิง
release,ปล่อย
ho,โฮ
cards,การ์ด
pray,อธิษฐาน
unfortunately,น่าเสียดาย
balls,ลูกบอล
destroyed,ถูกทำลาย
ended,จบ
universe,จักรวาล
prepare,เตรียมตัว
opinion,ความคิดเห็น
movies,ภาพยนตร์
soldier,ทหาร
wash,ล้าง
program,โปรแกรม
heat,ความร้อน
usual,ตามปกติ
ticket,ตั๋ว
stolen,ถูกขโมย
prefer,ชอบมากกว่า
aware,รับรู้
surely,อย่างแน่นอน
male,ชาย
base,ฐาน
matters,เรื่อง
lift,ยก
lab,ห้องทดลอง
command,สั่งการ
proof,การพิสูจน์
cream,ครีม
selling,การขาย
believed,ซึ่งเชื่อ
create,สร้าง
h,ชม.
afford,จ่ายได้
sunday,วันอาทิตย์
total,ทั้งหมด
dumb,โง่
threw,โยน
france,ฝรั่งเศส
birth,การเกิด
created,สร้าง
realized,ที่ตระหนักรู้
british,ชาวอังกฤษ
noise,เสียงรบกวน
nuts,ถั่ว
students,นักเรียน
birds,นก
social,ทางสังคม
brilliant,ฉลาดหลักแหลม
bodies,ร่างกาย
tie,ผูก
opened,ที่เปิดออกแล้ว
ours,ของเราเอง
bucks,เหรียญ
kevin,เควิน
mister,นาย
ugly,น่าเกลียด
ryan,ไรอัน
focus,จุดสนใจ
dan,แดน
opens,เปิด
exist,มีอยู่
followed,ตามมา
england,อังกฤษ
draw,วาด
purpose,วัตถุประสงค์
letters,ตัวอักษร
daniel,แดเนียล
opening,การเปิด
bullet,กระสุนปืน
anna,แอนนา
lately,เมื่อเร็ว ๆ นี้
stayed,อยู่
falling,การล้ม
season,ฤดูกาล
ends,การสิ้นสุด
suggest,แนะนำ
joy,ความสุข
distance,ระยะทาง
responsibility,ความรับผิดชอบ
whenever,เมื่อใดก็ตาม
issue,ปัญหา
thousands,หลายพันคน
process,กระบวนการ
sword,ดาบ
shower,อาบน้ำ
weak,อ่อนแอ
fucked,ระยำ
lonely,เหงา
happiness,ความสุข
eric,เอริค
tiny,ขนาดเล็ก
desk,โต๊ะ
pool,สระน้ำ
property,คุณสมบัติ
forced,ถูกบังคับ
settle,ชำระ
indistinct,ไม่ชัด
weight,น้ำหนัก
received,ได้รับ
gang,แก๊ง
bite,กัด
friday,วันศุกร์
disappeared,หายไป
interview,สัมภาษณ์
expecting,คาดหวัง
kinda,เล็กน้อย
surgery,การผ่าตัด
horses,ม้า
mayor,นายกเทศมนตรี
babe,ที่รัก
ancient,โบราณ
handsome,หล่อ
thomas,โทมัส
saturday,วันเสาร์
staff,พนักงาน
lines,เส้น
unit,หน่วย
fan,พัดลม
gentleman,สุภาพบุรุษ
introduce,แนะนำ
fate,โชคชะตา
split,แยก
recently,เร็วๆ นี้
expected,ที่คาดหวัง
add,เพิ่ม
ordered,ที่สั่ง
slowly,ช้า
alarm,เตือน
member,สมาชิก
slept,นอนหลับ
signed,ที่ได้ลงนาม
enter,เข้าสู่
spanish,ภาษาสเปน
garden,สวน
brings,นำมา
brave,กล้าหาญ
pig,หมู
model,แบบอย่าง
finger,นิ้ว
medicine,ยา
access,เข้าถึง
failed,ล้มเหลว
flat,แบน
easily,อย่างง่ายดาย
discovered,ค้นพบ
based,ซึ่งเป็นรากฐาน
screw,สกรู
insane,บ้า
cares,ใส่ใจ
weather,สภาพอากาศ
fingers,นิ้วมือ
san,ซัน
scott,สกอตต์
path,เส้นทาง
soft,อ่อน
harm,อันตราย
style,สไตล์
community,ชุมชน
sees,เห็น
basically,โดยทั่วไป
al,อัล
signal,สัญญาณ
nope,ไม่
spare,สำรอง
speech,คำพูด
covered,ปกคลุม
shake,เขย่า
loose,หลวม
snow,หิมะ
russian,ชาวรัสเซีย
lake,ทะเลสาบ
bright,สว่าง
roof,หลังคา
ohh,โอ้
sending,การส่ง
paint,สี
remind,เตือน
pal,เพื่อน
naked,เปลือยกาย
post,โพสต์
sugar,น้ำตาล
heading,หัวเรื่อง
streets,ถนน
damage,ความเสียหาย
silence,ความเงียบ
doors,ประตู
pete,พีท
ed,เอ็ด
success,ความสำเร็จ
wet,เปียก
nah,ไม่
amount,จำนวน
members,สมาชิก
kate,เคท
manage,จัดการ
safety,ความปลอดภัย
returned,ถูกส่งคืน
harder,ยากขึ้น
fbi,เอฟบีไอ
block,บล็อก
showing,การแสดง
fancy,ไม่ธรรมดา
chef,พ่อครัว
contract,สัญญา
dig,ขุด
chest,หน้าอก
good-bye,ลาก่อน
drinks,เครื่องดื่ม
dave,เดฟ
buried,ฝัง
brian,ไบรอัน
trade,ซื้อขาย
journey,การเดินทาง
stomach,ท้อง
changes,การเปลี่ยนแปลง
details,รายละเอียด
thoughts,ความคิด
divorce,หย่า
funeral,งานศพ
maria,มาเรีย
football,ฟุตบอล
reality,ความจริง
theory,ทฤษฎี
gosh,เอ้ย
ruined,ซึ่งได้ถูกทำลาย
gate,ประตู
william,วิลเลียม
spread,แพร่กระจาย
outta,outta
japanese,ญี่ปุ่น
sudden,กะทันหัน
coat,เสื้อโค้ท
sooner,เร็วกว่า
cheese,ชีส
larry,แลร์รี่
spring,ฤดูใบไม้ผลิ
page,หน้าหนังสือ
ears,หู
simon,ไซม่อน
castle,ปราสาท
hidden,ที่ซ่อนอยู่
storm,พายุ
cos,COS
personally,ส่วนตัว
artist,ศิลปิน
hill,เนินเขา
exciting,น่าตื่นเต้น
permission,การอนุญาต
jerry,เจอร์รี่
expensive,แพง
tickets,ตั๋ว
forest,ป่า
barely,แทบจะไม่
eggs,ไข่
goin,เข้าไป
regret,เสียใจ
lesson,บทเรียน
lover,คนรัก
bread,ขนมปัง
andy,แอนดี้
subject,เรื่อง
legal,ถูกกฎหมาย
growing,ที่กำลังเติบโต
ill,ป่วย
jason,เจสัน
mood,อารมณ์
owner,เจ้าของ
caused,ซึ่งก่อให้เกิด
beeping,การส่งเสียงบี๊บ
points,คะแนน
dating,การออกเดท
loss,การสูญเสีย
secretary,เลขานุการ
revenge,แก้แค้น
santa,ซานต้า
likely,มีแนวโน้ม
rent,เช่า
connection,การเชื่อมต่อ
assistant,ผู้ช่วย
reasons,เหตุผล
yelling,การตะโกน
painting,จิตรกรรม
trees,ต้นไม้
doctors,แพทย์
rush,รีบ
foreign,ต่างชาติ
rough,ขรุขระ
murderer,ฆาตกร
century,ศตวรรษ
nights,คืน
pair,คู่
runs,วิ่ง
pocket,กระเป๋า
farm,ฟาร์ม
matt,แมตต์
bike,จักรยาน
obvious,ชัดเจน
ate,กิน
grew,เติบโตขึ้น
professional,มืออาชีพ
tim,ทิม
goodness,ความดี
parts,ชิ้นส่วน
alan,อลัน
university,มหาวิทยาลัย
square,สี่เหลี่ยม
grandfather,ปู่
europe,ยุโรป
genius,อัจฉริยะ
cases,คดี
ruin,ทำลาย
winter,ฤดูหนาว
tongue,ลิ้น
memories,ความทรงจำ
da,ดา
buying,การซื้อ
cancer,โรคมะเร็ง
clock,นาฬิกา
ocean,มหาสมุทร
dna,ดีเอ็นเอ
liar,คนโกหก
tour,การท่องเที่ยว
thief,ขโมย
bleep,เสียงดัง
lisa,ลิซ่า
rights,สิทธิ
including,รวมทั้ง
competition,การแข่งขัน
smith,สมิ ธ
planned,วางแผน
emily,เอมิลี่
boring,น่าเบื่อ
victims,ผู้ที่ตกเป็นเหยื่อ
mentioned,กล่าวถึง
bones,กระดูก
plant,ปลูก
bless,อวยพร
warning,คำเตือน
knocking,การเคาะ
re,อีกครั้ง
crash,ชน
bedroom,ห้องนอน
lower,ต่ำกว่า
silver,เงิน
groaning,การส่งเสียงพึมพัม
madame,แหม่ม
defense,ป้องกัน
results,ผลลัพธ์
toilet,ห้องน้ำ
event,เหตุการณ์
complicated,ที่ซับซ้อน
shape,รูปร่าง
priest,นักบวช
royal,พระราชินี
cheap,ราคาถูก
romantic,โรแมนติก
downstairs,ชั้นล่าง
invite,เชิญชวน
fortune,โชค
tears,น้ำตา
avoid,หลีกเลี่ยง
reached,ถึง
higher,สูงกว่า
familiar,คุ้นเคย
telephone,โทรศัพท์
burning,การเผา
filled,ซึ่งเติมเต็ม
kelly,เคลลี่
alice,อลิซ
airport,สนามบิน
jobs,งาน
grown,โตขึ้น
walter,วอลเตอร์
rachel,ราเชล
giant,ยักษ์
insurance,ประกันภัย
woods,ป่า
n,n
scare,ทำให้ตกใจ
pleased,พึงพอใจ
period,ระยะเวลา
political,ทางการเมือง
player,ผู้เล่น
stops,การหยุด
secrets,ความลับ
laura,ลอร่า
repeat,ทำซ้ำ
photos,รูปถ่าย
finds,พบ
statement,คำแถลง
suck,ดูด
